CYCLE,ORGID,ORGNAME,TOTAL,INDIVS,PACS,SOFT,TOT527,DEMS,REPUBS,LOBBYING,OUTSIDE,MEMS_INVESTED,GAVE_TO_PAC,GAVE_TO_PARTY,GAVE_TO_527,GAVE_TO_CAND,SOURCE
2022,D000085786,Seaview Investors,24400,24400,0,0,0,0,24400,0,0,0,0,0,19400,0,www.opensecrets.org/orgs/summary.php?id=D000085786
2022,D000063430,Skyview Cooling,5800,5800,0,0,0,5800,0,0,0,0,0,0,5800,0,www.opensecrets.org/orgs/summary.php?id=D000063430
2020,D000082908,SkyView Partners,1250,1250,0,0,0,0,1250,0,0,0,0,0,1250,0,www.opensecrets.org/orgs/summary.php?id=D000082908
2012,D000030534,Tribune-Review Publishing,235200,2700,0,232500,0,0,2700,0,0,0,0,0,2700,0,www.opensecrets.org/orgs/summary.php?id=D000030534
2022,D000092518,Valley View Hospital,1990,1990,0,0,0,1990,0,0,0,0,0,1230,760,0,www.opensecrets.org/orgs/summary.php?id=D000092518
2022,D000081820,View Inc,115063,114943,0,120,0,114480,463,340000,0,0,0,710,114233,0,www.opensecrets.org/orgs/summary.php?id=D000081820
2022,D000058248,ViewRay,25,25,0,0,0,25,0,0,0,0,0,0,25,0,www.opensecrets.org/orgs/summary.php?id=D000058248
2020,D000058262,"Village of Glenview, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000058262
2018,D000030931,Waterview Advisors,4000,4000,0,0,0,4000,0,0,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000030931
2018,D000098511,Westview Development,5400,5400,0,0,0,0,5400,0,0,0,0,0,5400,0,www.opensecrets.org/orgs/summary.php?id=D000098511
2014,D000058579,Westview Hospital,250,250,0,0,0,0,250,0,0,0,0,0,250,0,www.opensecrets.org/orgs/summary.php?id=D000058579
2022,D000091624,World View Enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000091624
2022,D000025069,INCOMPAS,36250,14250,22000,0,0,27000,9250,100000,0,0,0,0,29250,0,www.opensecrets.org/orgs/summary.php?id=D000025069
2022,D000036251,North American Properties,75100,75100,0,0,0,4000,71100,0,0,0,0,20100,43400,0,www.opensecrets.org/orgs/summary.php?id=D000036251
2022,D000021872,BlackRock Inc,991288,554288,427000,10000,0,608901,372387,1570000,0,0,0,50730,930321,0,www.opensecrets.org/orgs/summary.php?id=D000021872
2022,D000072000,US Acute Care Solutions,129147,54517,74000,630,0,84759,43758,60000,0,0,0,2766,116316,0,www.opensecrets.org/orgs/summary.php?id=D000072000
2022,D000066714,Fanjul Corp,914028,496528,0,417500,0,295660,200868,505000,0,0,5800,191400,271820,0,www.opensecrets.org/orgs/summary.php?id=D000066714
2022,D000000062,National Assn of Realtors,8487604,87336,5192802,3207466,0,2798633,2471328,27078651,11827129,0,0,741611,2711609,0,www.opensecrets.org/orgs/summary.php?id=D000000062
2022,D000035408,Link Group,30086,29966,0,120,0,18366,11600,0,0,0,0,0,29966,0,www.opensecrets.org/orgs/summary.php?id=D000035408
2022,D000000582,Alabama Farmers Federation,192750,3750,189000,0,0,10000,182750,130000,0,0,0,0,192750,0,www.opensecrets.org/orgs/summary.php?id=D000000582
2020,D000021944,Cubic Corp,407652,80642,326000,1010,0,163860,241406,870000,0,0,0,45873,320510,0,www.opensecrets.org/orgs/summary.php?id=D000021944
2022,D000022070,Land O'Lakes,280171,12122,267500,549,0,163182,116440,1270000,0,0,0,948,278384,0,www.opensecrets.org/orgs/summary.php?id=D000022070
2022,D000025112,Constellation Brands,262513,100513,162000,0,0,203013,59500,280000,0,0,0,0,260013,0,www.opensecrets.org/orgs/summary.php?id=D000025112
2022,D000053134,Live Nation Entertainment,125717,120548,0,5169,0,113263,7118,580000,0,0,300,2384,96087,0,www.opensecrets.org/orgs/summary.php?id=D000053134
2022,D000046066,Tiber Creek Group,622360,622360,0,0,0,470960,151400,0,0,0,0,141600,417060,0,www.opensecrets.org/orgs/summary.php?id=D000046066
2022,D000046963,American Israel Public Affairs Cmte,9409864,6512198,2547666,350000,0,5683982,3370882,1341138,0,0,0,500,9059364,0,www.opensecrets.org/orgs/summary.php?id=D000046963
2022,D000071053,Blink Health,-5950,-5950,0,0,0,1200,-7150,80000,0,0,0,0,-5950,0,www.opensecrets.org/orgs/summary.php?id=D000071053
2020,D000079765,"Cossich, Sumich et al",32400,10900,0,21500,0,10900,0,0,0,0,0,0,10900,0,www.opensecrets.org/orgs/summary.php?id=D000079765
2022,D000030683,University of Oregon,97002,91830,0,5172,0,89651,1233,110000,0,0,0,34787,55643,0,www.opensecrets.org/orgs/summary.php?id=D000030683
2022,D000036976,RDV Corp,1242666,972666,0,270000,0,0,992666,0,0,0,0,664100,328566,0,www.opensecrets.org/orgs/summary.php?id=D000036976
2022,D000076696,Ralph Clayton & Sons,12005,12005,0,0,0,0,12005,0,0,0,0,150,11855,0,www.opensecrets.org/orgs/summary.php?id=D000076696
2022,D000000061,American Federation of State/Cnty/Munic Employees,9763789,64503,3029500,6669786,0,3128148,5500,1100000,5308449,0,0,832513,2166364,0,www.opensecrets.org/orgs/summary.php?id=D000000061
2022,D000021927,Columbia University,1036143,942214,0,93929,0,854399,75810,80000,0,0,1953,223625,694993,0,www.opensecrets.org/orgs/summary.php?id=D000021927
2022,D000000476,State of New York,477727,461291,0,16436,0,377224,72122,180000,0,0,1186,140172,311291,0,www.opensecrets.org/orgs/summary.php?id=D000000476
2022,D000055514,Plymouth Rock Co,123157,122907,0,250,0,122007,900,0,0,0,0,26572,86335,0,www.opensecrets.org/orgs/summary.php?id=D000055514
2022,D000027883,National Rural Water Assn,184650,2250,182400,0,0,78000,106650,610000,0,0,0,0,149650,0,www.opensecrets.org/orgs/summary.php?id=D000027883
2022,D000029548,Unaka Corp,37800,17100,20700,0,0,5400,32400,0,0,0,0,8400,19400,0,www.opensecrets.org/orgs/summary.php?id=D000029548
2022,D000000100,Boeing Co,3511923,830152,2663000,18771,0,1674871,1796413,5970000,0,0,2512,1141225,1761132,0,www.opensecrets.org/orgs/summary.php?id=D000000100
2022,D000022252,Simmons Hanly Conroy,281558,281558,0,0,0,281129,0,40000,0,0,0,11507,250051,0,www.opensecrets.org/orgs/summary.php?id=D000022252
